anno,territorio,livello_territoriale,categoria_sport,n_spettacoli,persone,media_ps,botteghino,pubblico,persone_per_spettacolo,botteghino_medio_evento,pubblico_medio_evento,n_spettacoli_nazionale,quota_spettacoli_nazionale,variazione_yoy_spettacoli,media_2017_2019_spettacoli,indice_resilienza_spettacoli_2021
2021,Abruzzo,regione,Attività sportiva,401.0,92999.0,231.9177057,660700.07,776949.07,231.91770573566086,1647.6310972568576,1937.5288528678302,27192.0,1.4746984407178583,-37.24569640062598,1998.6666666666667,20.063375583722483
2021,Basilicata,regione,Attività sportiva,91.0,31506.0,346.2197802,427972.89,443820.04,346.2197802197802,4702.998791208792,4877.143296703296,27192.0,0.3346572521329803,-37.671232876712324,477.0,19.07756813417191
2021,Calabria,regione,Attività sportiva,182.0,157739.0,866.6978022,1802259.99,1929154.74,866.6978021978022,9902.527417582418,10599.75131868132,27192.0,0.6693145042659606,18.181818181818187,681.6666666666666,26.699266503667484
2021,Campania,regione,Attività sportiva,523.0,695239.0,1329.328872,14014656.12,14886573.73,1329.3288718929255,26796.66562141491,28463.81210325048,27192.0,1.9233598117093262,-7.4336283185840735,1660.0,31.506024096385545
2021,Emilia-Romagna,regione,Attività sportiva,1646.0,859231.0,522.0115431,18654296.76,18919828.38,522.0115431348725,11333.108602673148,11494.427934386391,27192.0,6.053250956163578,-46.93745970341715,10918.666666666666,15.075100744901698
2021,Friuli- Venezia Giulia,regione,Attività sportiva,1046.0,201825.0,192.9493308,3939206.0,4409033.28,192.94933078393882,3765.9713193116636,4215.136978967495,27192.0,3.8467196234186525,-37.58949880668258,4744.0,22.048903878583474
2021,Lazio,regione,Attività sportiva,471.0,782300.0,1660.934183,16449089.04,16688122.07,1660.9341825902336,34923.755923566874,35431.257048832274,27192.0,1.732127096204766,-45.42294322132098,2473.3333333333335,19.043126684636118
2021,Liguria,regione,Attività sportiva,371.0,243915.0,657.4528302,3936967.75,4172855.93,657.4528301886793,10611.772911051214,11247.590107816712,27192.0,1.364371874080612,-51.56657963446476,2167.0,17.120443008767882
2021,Lombardia,regione,Attività sportiva,6241.0,1850192.0,296.457619,57501515.29,59733798.19,296.4576189713187,9213.509900656945,9571.190224323025,27192.0,22.951603412768463,-34.36744137133242,35434.333333333336,17.612861349162298
2021,Marche,regione,Attività sportiva,1081.0,199983.0,184.9981499,2100860.2,2404432.45,184.9981498612396,1943.4414431082332,2224.26683626272,27192.0,3.9754339511621066,-50.0,5646.333333333333,19.14516795560541
2021,Molise,regione,Attività sportiva,78.0,25554.0,327.6153846,412064.5,432598.5,327.61538461538464,5282.878205128205,5546.134615384615,27192.0,0.2868490732568403,-15.217391304347828,259.6666666666667,30.038510911424904
2021,Piemonte,regione,Attività sportiva,3709.0,910143.0,245.3877056,27788130.23,29210005.99,245.38770558101913,7492.081485575627,7875.439738473981,27192.0,13.640041188584878,-9.248837778321505,17918.666666666668,20.69908475332986
2021,Puglia,regione,Attività sportiva,415.0,353713.0,852.3204819,4044505.94,4247766.11,852.3204819277108,9745.797445783133,10235.580987951807,27192.0,1.5261841718152398,-14.256198347107441,1703.3333333333333,24.36399217221135
2021,Sardegna,regione,Attività sportiva,448.0,176343.0,393.6227679,2239073.46,2291033.24,393.62276785714283,4997.931830357143,5113.913482142858,27192.0,1.6475433951162106,29.855072463768106,1410.0,31.773049645390074
2021,Sicilia,regione,Attività sportiva,358.0,160748.0,449.0167598,1615599.15,1742241.13,449.01675977653633,4512.846787709497,4866.59533519553,27192.0,1.316563695204472,-7.969151670951158,1376.6666666666667,26.0048426150121
2021,Toscana,regione,Attività sportiva,7246.0,830773.0,114.6526359,9225524.73,10017014.84,114.65263593706872,1273.1886185481646,1382.4199337565553,27192.0,26.647543395116212,-10.32178217821782,30617.0,23.666590456282457
2021,Trentino-Alto Adige,regione,Attività sportiva,553.0,170363.0,308.0705244,2686884.2,3047128.84,308.07052441229655,4858.741772151899,5510.178734177215,27192.0,2.0336863783465726,-33.53365384615385,2093.0,26.421404682274247
2021,Umbria,regione,Attività sportiva,332.0,108434.0,326.6084337,1028071.11,1153329.91,326.60843373493975,3096.5997289156626,3473.885271084337,27192.0,1.220947337452192,-55.55555555555556,2869.0,11.571976298361799
2021,Valle d'Aosta,regione,Attività sportiva,173.0,10024.0,57.94219653,115212.5,119521.5,57.94219653179191,665.9682080924855,690.8757225433526,27192.0,0.6362165342747866,98.85057471264366,363.0,47.658402203856745
2021,Veneto,regione,Attività sportiva,1827.0,464207.0,254.0815545,6931791.06,7363545.0,254.0815544608648,3794.083776683087,4030.402298850575,27192.0,6.7188879082082975,-46.01063829787234,10071.333333333334,18.14059707420401
